q, l, mse
0.5000, 0.0001, 0.0818
0.5000, 0.0010, 0.0818
0.5000, 0.0100, 0.0818
0.5000, 0.1000, 0.0817
0.5000, 1.0000, 0.0830
0.5000, 10.0000, 2.8464
0.5000, 100.0000, 1.2996
0.5000, 1000.0000, 1.2996
0.6000, 0.0001, 0.0804
0.6000, 0.0010, 0.0804
0.6000, 0.0100, 0.0804
0.6000, 0.1000, 0.0802
0.6000, 1.0000, 0.0808
0.6000, 10.0000, nan
0.6000, 100.0000, nan
0.6000, 1000.0000, nan
0.7000, 0.0001, 0.0789
0.7000, 0.0010, 0.0789
0.7000, 0.0100, 0.0789
0.7000, 0.1000, 0.0794
0.7000, 1.0000, 0.0780
0.7000, 10.0000, nan
0.7000, 100.0000, nan
0.7000, 1000.0000, nan
0.8000, 0.0001, 0.0774
0.8000, 0.0010, 0.0774
0.8000, 0.0100, 0.0774
0.8000, 0.1000, 0.0770
0.8000, 1.0000, 0.0771
0.8000, 10.0000, nan
0.8000, 100.0000, nan
0.8000, 1000.0000, nan
0.9000, 0.0001, 0.0765
0.9000, 0.0010, 0.0765
0.9000, 0.0100, 0.0765
0.9000, 0.1000, 0.0765
0.9000, 1.0000, 0.0760
0.9000, 10.0000, nan
0.9000, 100.0000, nan
0.9000, 1000.0000, nan
1.0000, 0.0001, 1.1498
1.0000, 0.0010, 1.5003
1.0000, 0.0100, 0.5048
1.0000, 0.1000, 0.9745
1.0000, 1.0000, 1.1300
1.0000, 10.0000, 1.1041
1.0000, 100.0000, 1.2996
1.0000, 1000.0000, 1.2996
1.1000, 0.0001, 0.0754
1.1000, 0.0010, 0.0754
1.1000, 0.0100, 0.0754
1.1000, 0.1000, 0.0754
1.1000, 1.0000, 0.0755
1.1000, 10.0000, 0.0750
1.1000, 100.0000, 0.0740
1.1000, 1000.0000, 0.0740
1.2000, 0.0001, 0.0754
1.2000, 0.0010, 0.0754
1.2000, 0.0100, 0.0754
1.2000, 0.1000, 0.0754
1.2000, 1.0000, 0.0754
1.2000, 10.0000, 0.0752
1.2000, 100.0000, 0.0740
1.2000, 1000.0000, 0.0740
1.3000, 0.0001, 0.0754
1.3000, 0.0010, 0.0754
1.3000, 0.0100, 0.0754
1.3000, 0.1000, 0.0754
1.3000, 1.0000, 0.0754
1.3000, 10.0000, 0.0752
1.3000, 100.0000, 0.0740
1.3000, 1000.0000, 0.0740
1.4000, 0.0001, 0.0754
1.4000, 0.0010, 0.0754
1.4000, 0.0100, 0.0754
1.4000, 0.1000, 0.0754
1.4000, 1.0000, 0.0754
1.4000, 10.0000, 0.0753
1.4000, 100.0000, 0.0740
1.4000, 1000.0000, 0.0740
1.5000, 0.0001, 0.0754
1.5000, 0.0010, 0.0754
1.5000, 0.0100, 0.0754
1.5000, 0.1000, 0.0754
1.5000, 1.0000, 0.0754
1.5000, 10.0000, 0.0753
1.5000, 100.0000, 0.0741
1.5000, 1000.0000, 0.0740
1.6000, 0.0001, 0.0754
1.6000, 0.0010, 0.0754
1.6000, 0.0100, 0.0754
1.6000, 0.1000, 0.0754
1.6000, 1.0000, 0.0754
1.6000, 10.0000, 0.0753
1.6000, 100.0000, 0.0741
1.6000, 1000.0000, 0.0740
1.7000, 0.0001, 0.0754
1.7000, 0.0010, 0.0754
1.7000, 0.0100, 0.0754
1.7000, 0.1000, 0.0754
1.7000, 1.0000, 0.0754
1.7000, 10.0000, 0.0753
1.7000, 100.0000, 0.0741
1.7000, 1000.0000, 0.0740
1.8000, 0.0001, 0.0754
1.8000, 0.0010, 0.0754
1.8000, 0.0100, 0.0754
1.8000, 0.1000, 0.0754
1.8000, 1.0000, 0.0754
1.8000, 10.0000, 0.0753
1.8000, 100.0000, 0.0741
1.8000, 1000.0000, 0.0740
1.9000, 0.0001, 0.0754
1.9000, 0.0010, 0.0754
1.9000, 0.0100, 0.0754
1.9000, 0.1000, 0.0754
1.9000, 1.0000, 0.0754
1.9000, 10.0000, 0.0753
1.9000, 100.0000, 0.0741
1.9000, 1000.0000, 0.0740
2.0000, 0.0001, 0.0754
2.0000, 0.0010, 0.0754
2.0000, 0.0100, 0.0754
2.0000, 0.1000, 0.0754
2.0000, 1.0000, 0.0757
2.0000, 10.0000, 0.0753
2.0000, 100.0000, 0.0741
2.0000, 1000.0000, 0.0740
