q, l, kl
0.5000, 0.0001, 0.1047
0.5000, 0.0010, 0.1047
0.5000, 0.0100, 0.1047
0.5000, 0.1000, 0.1047
0.5000, 1.0000, 0.1047
0.5000, 10.0000, nan
0.5000, 100.0000, nan
0.5000, 1000.0000, nan
0.6000, 0.0001, 0.1036
0.6000, 0.0010, 0.1036
0.6000, 0.0100, 0.1036
0.6000, 0.1000, 0.1036
0.6000, 1.0000, 0.1034
0.6000, 10.0000, nan
0.6000, 100.0000, nan
0.6000, 1000.0000, nan
0.7000, 0.0001, 0.1027
0.7000, 0.0010, 0.1027
0.7000, 0.0100, 0.1027
0.7000, 0.1000, 0.1027
0.7000, 1.0000, 0.1024
0.7000, 10.0000, nan
0.7000, 100.0000, nan
0.7000, 1000.0000, nan
0.8000, 0.0001, 0.1021
0.8000, 0.0010, 0.1021
0.8000, 0.0100, 0.1021
0.8000, 0.1000, 0.1021
0.8000, 1.0000, 0.1018
0.8000, 10.0000, nan
0.8000, 100.0000, nan
0.8000, 1000.0000, nan
0.9000, 0.0001, 0.1023
0.9000, 0.0010, 0.1023
0.9000, 0.0100, 0.1023
0.9000, 0.1000, 0.1023
0.9000, 1.0000, 0.1020
0.9000, 10.0000, nan
0.9000, 100.0000, nan
0.9000, 1000.0000, nan
1.0000, 0.0001, 0.2789
1.0000, 0.0010, 0.4416
1.0000, 0.0100, 0.3898
1.0000, 0.1000, 0.2372
1.0000, 1.0000, 0.3886
1.0000, 10.0000, 0.3441
1.0000, 100.0000, nan
1.0000, 1000.0000, nan
1.1000, 0.0001, 0.1037
1.1000, 0.0010, 0.1037
1.1000, 0.0100, 0.1037
1.1000, 0.1000, 0.1037
1.1000, 1.0000, 0.1036
1.1000, 10.0000, 0.1030
1.1000, 100.0000, 0.1013
1.1000, 1000.0000, 0.1014
1.2000, 0.0001, 0.1037
1.2000, 0.0010, 0.1037
1.2000, 0.0100, 0.1037
1.2000, 0.1000, 0.1037
1.2000, 1.0000, 0.1037
1.2000, 10.0000, 0.1029
1.2000, 100.0000, 0.1013
1.2000, 1000.0000, 0.1014
1.3000, 0.0001, 0.1037
1.3000, 0.0010, 0.1037
1.3000, 0.0100, 0.1037
1.3000, 0.1000, 0.1037
1.3000, 1.0000, 0.1037
1.3000, 10.0000, 0.1029
1.3000, 100.0000, 0.1015
1.3000, 1000.0000, 0.1014
1.4000, 0.0001, 0.1037
1.4000, 0.0010, 0.1037
1.4000, 0.0100, 0.1037
1.4000, 0.1000, 0.1037
1.4000, 1.0000, 0.1037
1.4000, 10.0000, 0.1029
1.4000, 100.0000, 0.1015
1.4000, 1000.0000, 0.1014
1.5000, 0.0001, 0.1037
1.5000, 0.0010, 0.1037
1.5000, 0.0100, 0.1037
1.5000, 0.1000, 0.1037
1.5000, 1.0000, 0.1037
1.5000, 10.0000, 0.1029
1.5000, 100.0000, 0.1015
1.5000, 1000.0000, 0.1014
1.6000, 0.0001, 0.1037
1.6000, 0.0010, 0.1037
1.6000, 0.0100, 0.1037
1.6000, 0.1000, 0.1037
1.6000, 1.0000, 0.1037
1.6000, 10.0000, 0.1029
1.6000, 100.0000, 0.1015
1.6000, 1000.0000, 0.1014
1.7000, 0.0001, 0.1037
1.7000, 0.0010, 0.1037
1.7000, 0.0100, 0.1037
1.7000, 0.1000, 0.1037
1.7000, 1.0000, 0.1037
1.7000, 10.0000, 0.1029
1.7000, 100.0000, 0.1015
1.7000, 1000.0000, 0.1014
1.8000, 0.0001, 0.1037
1.8000, 0.0010, 0.1037
1.8000, 0.0100, 0.1037
1.8000, 0.1000, 0.1037
1.8000, 1.0000, 0.1037
1.8000, 10.0000, 0.1029
1.8000, 100.0000, 0.1015
1.8000, 1000.0000, 0.1014
1.9000, 0.0001, 0.1037
1.9000, 0.0010, 0.1037
1.9000, 0.0100, 0.1037
1.9000, 0.1000, 0.1037
1.9000, 1.0000, 0.1037
1.9000, 10.0000, 0.1030
1.9000, 100.0000, 0.1016
1.9000, 1000.0000, 0.1014
2.0000, 0.0001, 0.1037
2.0000, 0.0010, 0.1037
2.0000, 0.0100, 0.1037
2.0000, 0.1000, 0.1037
2.0000, 1.0000, 0.1038
2.0000, 10.0000, 0.1030
2.0000, 100.0000, 0.1016
2.0000, 1000.0000, 0.1014
